School Name,Sector,Grade Band,Enrollment,ELA,Math,Overall Rating,Overall Score,Achievement Score,Growth Score,Economically Disadvantaged,Students with Disabilitites,Limited English Proficiency,Black,Latino
Saint Thomas Aquinas Academy,Private Schools,K-8,157,0.677,0.677,Significantly Exceeds Expectations,94.6,85.4,100,0.516,0.025,0.287,0.013,0.535
Nativity Jesuit Academy,Private Schools,K-8,222,0.404,0.424,Significantly Exceeds Expectations,93.1,61.2,100,0.937,0.045,0.063,0,1
Saint Roman Parish School,Private Schools,K-8,323,0.395,0.374,Significantly Exceeds Expectations,90.6,56.4,100,0.845,0.034,0.529,0.028,0.659
Mount Lebanon Lutheran School,Private Schools,K-8,227,0.267,0.198,Significantly Exceeds Expectations,88.4,50.3,94.5,0.881,0.053,0,0.881,0.031
Saint John's Lutheran School,Private Schools,K-8,254,0.466,0.5,Significantly Exceeds Expectations,88.2,73,92.6,0.732,0.004,0.665,0.051,0.016
Whittier Elementary,Milwaukee Public Schools,K-5,143,0.559,0.61,Significantly Exceeds Expectations,87,71.6,90.7,0.594,0.105,0.035,0.168,0.35
Bruce Guadalupe,Public Charter Schools,K-8,1360,0.358,0.353,Significantly Exceeds Expectations,85.3,51,95.4,0.76,0.082,0.209,0.01,0.974
Saint Gregory the Great Parish School,Private Schools,K-8,162,0.474,0.36,Significantly Exceeds Expectations,85.1,62.1,92.5,0.87,0.019,0.21,0.012,0.722
Reagan College Preparatory High,Milwaukee Public Schools,9-12,1343,0.648,0.364,Significantly Exceeds Expectations,84.2,73.6,85.9,0.52,0.104,0.088,0.081,0.506
Risen Savior Lutheran School,Private Schools,K-8,288,0.211,0.186,Significantly Exceeds Expectations,83.9,39.8,95.4,0.986,0.007,0.08,0.542,0.385
Saint Sebastian School,Private Schools,K-8,213,0.54,0.5,Significantly Exceeds Expectations,83,70,85,0.549,0,0,0.357,0.117
Garden Homes Lutheran School,Private Schools,K-8,257,0.218,0.176,Exceeds Expectations,82.8,42.7,86,0.805,0.004,0,0.911,0.043
Saint Augustine Preparatory Academy,Private Schools,K-12,1382,0.355,0.235,Exceeds Expectations,82.8,49.3,88.8,0.79,0.007,0.054,0.042,0.924
Yeshiva Elementary School,Private Schools,K-8,191,0.529,0.437,Exceeds Expectations,81.3,68,81.2,0.602,0.021,0,0,0.005
Saint Charles Borromeo Catholic School,Private Schools,K-8,141,0.424,0.394,Exceeds Expectations,80.6,70.2,81.1,0.475,0.021,0.355,0.014,0.475
Hampton Elementary,Milwaukee Public Schools,K-5,163,0.106,0.106,Exceeds Expectations,80.4,22.2,98.2,0.933,0.288,0.006,0.828,0.074
Saint Marcus Lutheran School,Private Schools,K-8,941,0.197,0.246,Exceeds Expectations,80.3,44.5,88.7,0.847,0.002,0,0.91,0.036
Catholic East Elementary,Private Schools,K-8,194,0.414,0.371,Exceeds Expectations,80.2,59.5,90.6,0.582,0.01,0,0.66,0.124
Mother of Good Counsel School,Private Schools,K-8,184,0.257,0.055,Exceeds Expectations,80.1,40,89.7,0.891,0,0,0.717,0.092
Northwest Lutheran School,Private Schools,K-8,244,0.153,0.174,Exceeds Expectations,80,33.5,89.8,0.939,0.012,0.004,0.893,0.008
Maryland Montessori,Milwaukee Public Schools,K-8,501,0.552,0.406,Exceeds Expectations,79.9,69.4,89.8,0.297,0.136,0.006,0.15,0.104
Prince of Peace,Private Schools,K-8,383,0.318,0.178,Exceeds Expectations,79.6,39.7,88.7,0.99,0.023,0.616,0.016,0.982
Milwaukee College Preparatory School -- Lloyd Street,Public Charter Schools,K-8,490,0.248,0.216,Exceeds Expectations,79.6,43.1,86.9,0.88,0.155,0,0.927,0.041
Saint Rafael the Archangel School,Private Schools,K-8,295,0.351,0.294,Exceeds Expectations,79.5,46.8,93.5,0.79,0.01,0.736,0.007,0.976
Golda Meir School,Milwaukee Public Schools,K-12,1174,0.486,0.329,Exceeds Expectations,79.3,61.7,86,0.479,0.086,0.02,0.586,0.141
Humboldt Park Elementary,Milwaukee Public Schools,K-8,559,0.329,0.229,Exceeds Expectations,78.8,45.7,90.7,0.812,0.159,0.433,0.1,0.242
Alliance School of Milwaukee,Milwaukee Public Schools,9-12,145,0.129,0.043,Exceeds Expectations,78.3,24.3,94.4,0.841,0.331,0.021,0.634,0.152
Pilgrim Lutheran School,Private Schools,K-8,245,0.15,0.105,Exceeds Expectations,78.2,28,92.6,0.963,0.012,0,0.91,0.029
Divine Savior Holy Angels High School,Private Schools,9-12,103,NA,NA,Exceeds Expectations,78,78.2,68.9,0.35,0,0,0.243,0.476
New Testament Christian Academy,Private Schools,K-8,136,0.486,0.311,Exceeds Expectations,77.9,60.3,89.8,0.338,0,0,0.926,0
Fernwood Montessori,Milwaukee Public Schools,K-8,756,0.52,0.33,Exceeds Expectations,77.7,62.4,86,0.237,0.107,0.003,0.049,0.213
