School Name,Sector,Grade Band,Enrollment,ELA % Prof.,Math % Prof.,ELA # Prof.,Math # Prof.,Overall Rating,Overall Score,Achievement Score,Growth Score,Economically Disadvantaged,Students with Disabilitites,Limited English Proficiency,Black,Latino
Saint Thomas Aquinas Academy,Private School,K-8,223,0.611,0.663,58,63,Significantly Exceeds Expectations,94.8,92.6,94.4,0.372,0.009,0.175,0.018,0.417
Nativity Jesuit Academy,Private School,K-8,256,0.544,0.644,81,96,Significantly Exceeds Expectations,93.6,64.6,98.2,0.973,0.086,0.063,0,1
Whittier Elementary,Traditional Public School,K-5,142,0.635,0.587,40,37,Significantly Exceeds Expectations,89,74.9,91.7,0.62,0.141,0.085,0.204,0.31
Yeshiva Elementary School,Private School,K-8,205,0.591,0.538,78,71,Significantly Exceeds Expectations,88.6,69.9,88.8,0.654,0.015,0,0,0
Saint John's Lutheran School,Private School,K-8,319,0.646,0.669,113,117,Significantly Exceeds Expectations,87.4,76.7,88.8,0.652,0.003,0.514,0.041,0.16
Risen Savior Lutheran School,Private School,K-8,351,0.364,0.38,67,70,Significantly Exceeds Expectations,86.9,42.2,100,0.915,0.094,0.068,0.578,0.336
Saint Roman Parish School,Private School,K-8,336,0.47,0.447,103,98,Significantly Exceeds Expectations,86.9,60.1,95.5,0.851,0.039,0.5,0.027,0.679
Mount Lebanon Lutheran School,Private School,K-8,230,0.41,0.393,50,48,Significantly Exceeds Expectations,85.5,52.6,90.6,0.822,0.026,0,0.852,0.009
Saint Gregory the Great Parish School,Private School,K-8,185,0.558,0.337,58,35,Significantly Exceeds Expectations,85.3,64.3,92.5,0.832,0.022,0.178,0.059,0.719
Reagan College Preparatory High,Traditional Public School,9-12,1349,0.679,0.551,678,550,Significantly Exceeds Expectations,84.9,73.6,88.8,0.561,0.116,0.103,0.087,0.491
Saint Augustine Preparatory Academy,Private School,K-12,1844,0.379,0.393,538,559,Significantly Exceeds Expectations,83.2,52.4,90.7,0.859,0.069,0.036,0.05,0.912
New Testament Christian Academy,Private School,K-8,151,0.461,0.337,41,30,Significantly Exceeds Expectations,83.1,61.3,87.9,0.656,0,0,0.947,0
Saint Sebastian School,Private School,K-8,338,0.773,0.594,99,76,Significantly Exceeds Expectations,83.1,77.1,83.1,0.34,0.053,0.003,0.257,0.121
Bruce Guadalupe,Public Charter School,K-8,1410,0.474,0.507,346,370,Significantly Exceeds Expectations,83,54.3,90.7,0.785,0.091,0.218,0.011,0.965
Pilgrim Lutheran School,Private School,K-8,256,0.248,0.23,40,37,Exceeds Expectations,82.6,32.7,97.3,0.922,0.02,0,0.898,0.031
Saint Lucas Lutheran School,Private School,K-8,167,0.68,0.653,51,49,Exceeds Expectations,82.4,75.3,80.3,0.419,0.03,0,0.078,0.222
Saint Charles Borromeo Catholic School,Private School,K-8,191,0.711,0.578,59,48,Exceeds Expectations,82.3,76.2,81.1,0.45,0.031,0.309,0.016,0.424
Prince of Peace,Private School,K-8,341,0.27,0.254,68,64,Exceeds Expectations,82.2,43.4,92.5,0.827,0.032,0.61,0.012,0.982
Milwaukee College Preparatory School -- Lloyd Street,Public Charter School,K-8,477,0.28,0.312,79,88,Exceeds Expectations,82.1,45.9,91.7,0.857,0.14,0,0.931,0.038
Our Lady Queen of Peace,Private School,K-8,218,0.312,0.305,40,39,Exceeds Expectations,81.8,48,95.4,0.945,0.037,0.651,0.032,0.858
Saint Marcus Lutheran School,Private School,K-8,1085,0.336,0.385,180,206,Exceeds Expectations,81.8,43.6,92.5,0.84,0.077,0,0.888,0.04
Institute of Technology and Academics,Private School,K-8,210,0.096,0.087,11,10,Exceeds Expectations,81.6,27.6,95.4,0.995,0.005,0,0.971,0.014
Northwest Lutheran School,Private School,K-8,273,0.39,0.346,62,55,Exceeds Expectations,81.4,39.1,94.4,0.949,0.051,0,0.89,0.015
Hampton Elementary,Traditional Public School,K-5,150,0.218,0.218,17,17,Exceeds Expectations,81.3,25.8,100,0.96,0.207,0.007,0.787,0.087
Saint Agnes School,Private School,K-8,161,0.425,0.438,31,32,Exceeds Expectations,80.3,59.4,84,0.758,0.099,0.019,0.391,0.143
Milwaukee College Preparatory School -- 36th Street Campus,Public Charter School,K-8,478,0.408,0.441,111,120,Exceeds Expectations,80.3,51.9,85,0.776,0.117,0,0.902,0.038
Mother of Good Counsel School,Private School,K-8,182,0.413,0.119,45,13,Exceeds Expectations,80.1,41.3,88.7,0.791,0.005,0,0.742,0.082
Maryland Montessori,Traditional Public School,K-8,515,0.695,0.494,173,123,Exceeds Expectations,79.7,69.4,90.6,0.26,0.14,0.006,0.155,0.099
Saint Rafael the Archangel School,Private School,K-8,281,0.291,0.302,53,55,Exceeds Expectations,79.6,48.7,93.6,0.804,0.021,0.804,0.007,0.979
Divine Savior Holy Angels High School,Private School*,9-12,148,0.405,0.405,49,49,Exceeds Expectations,79.1,80,57.5,0.155,0,0,0.264,0.486
Salam School,Private School,K-12,1074,0.556,0.457,387,318,Exceeds Expectations,79.1,56.2,81.2,0.896,0,0.135,0.117,0
Garden Homes Lutheran School,Private School,K-8,256,0.274,0.158,40,23,Exceeds Expectations,78.6,42.9,76.5,1,0.008,0,0.891,0.035
Golda Meir School,Traditional Public School,K-12,1211,0.603,0.472,616,482,Exceeds Expectations,78.5,62.4,82.2,0.545,0.093,0.016,0.592,0.142
Marquette University High School,Private School*,9-12,122,0.817,0.896,94,103,Exceeds Expectations,78.4,85.2,71.7,0.721,0,0,0.189,0.672
Tamarack Waldorf School,Private School*,K-8,167,0.258,0.093,25,9,Exceeds Expectations,78,48.5,79.2,0.677,0.006,0,0.174,0.281
Mount Olive Christian Day School,Private School,K-8,165,0.439,0.329,36,27,Exceeds Expectations,78,60.6,80.3,0.624,0.012,0,0.576,0.097
Milwaukee College Preparatory School: Lola Rowe North Campus,Public Charter School,K-8,509,0.334,0.397,97,115,Exceeds Expectations,77.9,43.3,86,0.821,0.136,0,0.921,0.024
King's Academy Christian School Inc,Private School*,K-8,142,0.33,0.183,38,21,Exceeds Expectations,77,34.9,87.8,1,0.014,0,0.923,0.021
Saint John Paul II School,Private School,K-8,177,0.222,0.148,18,12,Exceeds Expectations,76.9,36.3,83.1,0.87,0.011,0.418,0.006,0.977
Fernwood Montessori,Traditional Public School,K-8,772,0.692,0.471,297,202,Exceeds Expectations,76.8,64.5,81.2,0.232,0.109,0.003,0.039,0.202
The City School,Private School*,K-8,179,0.065,0.093,7,10,Exceeds Expectations,76.3,18.1,82.2,0.994,0,0,0.821,0.179
Milwaukee College Preparatory School -- 38th Street,Public Charter School,K-8,478,0.3,0.273,78,71,Exceeds Expectations,76.3,36.9,84.1,0.82,0.159,0,0.904,0.052
Notre Dame School of Milwaukee,Private School,K-8,555,0.49,0.574,146,171,Exceeds Expectations,76.2,56,76.5,0.793,0.095,0.492,0.013,0.966
Saint Adalbert School,Private School,K-8,401,0.311,0.333,85,91,Exceeds Expectations,76.2,38.9,86,0.993,0.02,0.756,0,0.995
Milwaukee German Immersion,Traditional Public School,K-5,549,0.679,0.699,133,137,Exceeds Expectations,76.2,70.1,74.6,0.322,0.097,0,0.266,0.089
United Community Center Acosta Middle School,Public Charter School,6-8,180,0.326,0.354,59,64,Exceeds Expectations,76,40.3,86.8,0.839,0.117,0.356,0.011,0.961
Clara Mohammed School,Private School,K-12,64,0.143,0,1,0,Exceeds Expectations,75.4,15.9,85.9,0.609,0,0,0.969,0
Bay View Montessori School,Traditional Public School,K-8,484,0.649,0.437,144,97,Exceeds Expectations,75.3,68.2,71.7,0.38,0.128,0.01,0.062,0.242
Humboldt Park Elementary,Traditional Public School,K-8,589,0.334,0.285,123,105,Exceeds Expectations,75.3,45.8,87.9,0.852,0.178,0.43,0.121,0.26
Highland Community School,Public Charter School,K-8,414,0.632,0.459,132,96,Exceeds Expectations,75,56.7,82.1,0.435,0.21,0.019,0.37,0.123
Saint Margaret Mary School,Private School,K-8,154,0.244,0.089,22,8,Exceeds Expectations,74.8,26,87.9,0.974,0.026,0,0.877,0.026
Catholic East Elementary,Private School,K-8,223,0.429,0.387,51,46,Exceeds Expectations,74.7,63.4,81.2,0.655,0.063,0.009,0.628,0.108
Hope Christian School Fidelis,Private School,K-8,637,0.172,0.239,59,82,Exceeds Expectations,74.2,26.9,82.2,0.928,0.022,0,0.943,0.041
King International,Traditional Public School,9-12,1339,0.306,0.26,295,250,Exceeds Expectations,73.8,47.2,74.6,0.715,0.137,0.081,0.573,0.16
Salem Evangelical Lutheran School,Private School*,K-8,175,0.336,0.221,41,27,Exceeds Expectations,73.5,41.9,78.4,0.749,0.017,0.011,0.726,0.086
ALBA - Academia de Lenguaje y Bellas Artes,Traditional Public School,K-8,620,0.298,0.215,104,75,Exceeds Expectations,73.4,37.4,74.6,0.889,0.153,0.706,0,0.992
Academy of Accelerated Learning,Traditional Public School,K-5,538,0.467,0.401,99,85,Exceeds Expectations,73.4,55,73.6,0.764,0.201,0.149,0.141,0.331
Saint Vincent Pallotti Catholic School,Private School,K-8,185,0.385,0.179,45,21,Exceeds Expectations,72.9,44,81.2,0.724,0.005,0.016,0.405,0.341
Carmen High School of Science and Technology South Campus,Public Charter School,9-12,399,0.328,0.286,95,83,Exceeds Expectations,72.7,36.3,73.6,0.905,0.09,0.594,0.023,0.96
Siloah Lutheran School,Private School,K-8,93,0.06,0.1,3,5,Exceeds Expectations,72.4,20.5,74.6,0.968,0,0,0.978,0
Woodlands School,Public Charter School,K-8,370,0.534,0.36,101,68,Exceeds Expectations,72.3,58,80.2,0.351,0.054,0,0.341,0.208
