school_year,dpi_true_id,lat,long,school_name,accurate_agency_type,grade_band,school_enrollment,ELA,Mathematics,overall_rating,overall_score,sch_ach,sch_growth,per_ed,per_swd,per_lep,per_b_aa,per_hisp_lat
2023-24,0000_0309,43.062933982845,-87.885827993921,Catholic East Elementary,Private School,K-8,223,0.392,0.392,Exceeds Expectations,74.7,63.4,81.2,0.655,0.063,0.009,0.628,0.108
2023-24,0000_0510,43.095022003676,-88.039426034335,Divine Savior Holy Angels High School,Private School,9-12,148,0.627,0.54,Exceeds Expectations,79.1,80,57.5,0.155,0,0,0.264,0.486
2023-24,0000_0740,43.095736980017,-87.943836966503,Garden Homes Lutheran School,Private School,K-8,256,0.261,0.174,Exceeds Expectations,78.6,42.9,76.5,1,0.008,0,0.891,0.035
2023-24,0000_1044,43.063796019677,-87.914529977327,Clara Mohammed School,Private School,K-12,64,0.158,0.105,Exceeds Expectations,75.4,15.9,85.9,0.609,0,0,0.969,0
2023-24,0000_1048,43.053190020403,-87.897125039202,Tamarack Waldorf School,Private School,K-8,167,0.323,0.115,Exceeds Expectations,78,48.5,79.2,0.677,0.006,0,0.174,0.281
2023-24,0000_1095,43.019396994738,-87.929808007521,Notre Dame School of Milwaukee,Private School,K-8,555,0.498,0.545,Exceeds Expectations,76.2,56,76.5,0.793,0.095,0.492,0.013,0.966
2023-24,0000_1158,43.150383007317,-88.000223034993,Early View Academy of Excellence,Private School,K-12,269,0.042,0.03,Fails to Meet Expectations,47.5,11,64.1,1,0.007,0,0.926,0.045
2023-24,0000_1165,43.167280002109,-88.033217977748,Granville Lutheran School,Private School,K-8,223,0.224,0.144,Meets Expectations,58.9,27.2,62.2,0.892,0.04,0,0.901,0.018
2023-24,0000_1200,43.003770989833,-87.953707998597,Saint Rafael the Archangel School,Private School,K-8,281,0.381,0.418,Exceeds Expectations,79.6,48.7,93.6,0.804,0.021,0.804,0.007,0.979
2023-24,0000_1205,43.019818981653,-87.944614974756007,Prince of Peace,Private School,K-8,341,0.312,0.316,Exceeds Expectations,82.2,43.4,92.5,0.827,0.032,0.61,0.012,0.982
